"Company Name";"www";"ASN";"Peering policy";"Route server";"FENIX";"NOC Contact";"IPv4";"IPv6";"Route server IPv4";"Route server IPv6"
"UPC Česká republika, s.r.o.";"http://www.upc.cz";"6830";"Closed";"0";"";"peering@aorta.net";"91.210.16.35,91.210.16.36";"2001:7f8:14::27:1,2001:7f8:14::27:2";"";""
    "VeriSign Netherlands, B.V";"http://www.verisign.com/";"26415";"Open";"1";"";"peering@verisign.com";"91.210.16.63";"2001:7f8:14::65:1";"1";""
"Verizon Czech, s.r.o.";"http://www.verizonbusiness.com/cz/";"702";"Selective";"0";"";"";"91.210.16.25";"2001:7f8:14::66:1";"";""
    "Visual Unity a.s.";"http://www.visualunity.com/";"41711";"Open";"1";"";"inf@visualunity.com";"91.210.16.87,91.210.16.88";"2001:7f8:14::16:1,2001:7f8:14::16:2";"1";"1"
    "VNET a.s.";"http://www.vnet.sk";"29405";"Open";"1";"";"peering@vnet.eu";"91.210.16.141";"2001:7f8:14::5f:1";"1";"1"
    "Vodafone Czech Republic, a.s.";"http://www.vodafone.cz/";"16019";"Selective";"1";"";"";"91.210.16.96,91.210.16.95";"2001:7f8:14::23:1,2001:7f8:14::23:2";"1";"1"
    "VSHosting s.r.o.";"http://www.vshosting.cz";"43541";"Open";"1";"";"";"91.210.16.151,91.210.16.152";"2001:7f8:14::41:2,2001:7f8:14::41:1";"1";"1"
    "Warnet";"http://www.warnet.cz";"47727";"Open";"1";"";"peering@warnet.cz";"91.210.16.232";"2001:7f8:14::7a:1";"1";""
    "Web4U s.r.o.";"http://www.web4u.cz";"39790";"Open";"1";"1";"";"91.210.16.89,91.210.16.90";"2001:7f8:14::31:1,2001:7f8:14::31:2";"1";"1"
    "WIA, spol. s .r.o.";"http://www.wia.cz";"21430";"Open";"1";"";"uhliar@wia.cz";"91.210.16.27,91.210.16.28";"2001:7f8:14::42:2,2001:7f8:14::42:1";"1";"1"
    "XH CZ a.s.";"http://www.xh.cz";"39896";"Open";"1";"";"";"91.210.16.207";"2001:7f8:14::40:1";"1";"1"
    "ZAYO FRANCE";"http://www.zayo-france.com/";"8218";"Selective";"1";"";"";"91.210.16.227";"2001:7f8:14::6f:1";"1";"1"
